task_id,task_type,difficulty,policy_version,method,answer_similarity,citation_coverage,citation_precision,policy_ref_recall,evidence_faithfulness,unsupported_claim_rate,contradiction_rate,decision_accuracy,traceability_score,human_review_correctness,audit_completeness,governance_readiness_score,update_adaptation_score,latency_seconds,overall_score
T001,policy_question_answering,medium,,Direct LLM,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.714286,1.0,0.625,0.620536,1.0,0.000211,0.133482
T001,policy_question_answering,medium,,Keyword Search,0.145833,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.8125,0.953125,1.0,0.000752,0.841562
T001,policy_question_answering,medium,,Standard RAG,0.106383,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.8125,0.953125,1.0,0.000663,0.834461
T001,policy_question_answering,medium,,Hybrid RAG,0.106383,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.8125,0.953125,1.0,0.000896,0.834461
T001,policy_question_answering,medium,,Policy-as-Prompt,0.106383,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.8125,0.953125,1.0,0.000574,0.834461
T001,policy_question_answering,medium,,Structured Policy-as-Prompt,0.106383,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.8125,0.953125,1.0,0.000903,0.834461
T001,policy_question_answering,medium,,Policy-as-Skill No Audit,0.106383,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.857143,1.0,0.9375,0.941518,1.0,0.001225,0.819015
T001,policy_question_answering,medium,,Policy-as-Skill,0.106383,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.002174,0.839149
T002,compliance_check,medium,,Direct LLM,0.037037,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.714286,1.0,0.625,0.620536,1.0,0.000151,0.140149
T002,compliance_check,medium,,Keyword Search,0.211538,1.0,1.0,1.0,0.977778,0.022222,1.0,0.0,1.0,1.0,0.8125,0.953125,1.0,0.000565,0.750723
T002,compliance_check,medium,,Standard RAG,0.211538,1.0,1.0,1.0,0.977778,0.022222,1.0,0.0,1.0,1.0,0.8125,0.953125,1.0,0.000568,0.750723
T002,compliance_check,medium,,Hybrid RAG,0.211538,1.0,1.0,1.0,0.977778,0.022222,1.0,0.0,1.0,1.0,0.8125,0.953125,1.0,0.000819,0.750723
T002,compliance_check,medium,,Policy-as-Prompt,0.211538,1.0,1.0,1.0,0.977778,0.022222,1.0,0.0,1.0,1.0,0.8125,0.953125,1.0,0.000537,0.750723
T002,compliance_check,medium,,Structured Policy-as-Prompt,0.211538,1.0,1.0,1.0,0.977778,0.022222,1.0,0.0,1.0,1.0,0.8125,0.953125,1.0,0.000839,0.750723
T002,compliance_check,medium,,Policy-as-Skill No Audit,0.22,1.0,1.0,1.0,0.976744,0.023256,1.0,0.0,0.857143,1.0,0.9375,0.941518,1.0,0.001169,0.736675
T002,compliance_check,medium,,Policy-as-Skill,0.22,1.0,1.0,1.0,0.976744,0.023256,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.001095,0.756809
T003,risk_classification,medium,,Direct LLM,0.076923,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.714286,1.0,0.625,0.620536,1.0,0.000134,0.147328
T003,risk_classification,medium,,Keyword Search,0.333333,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8125,0.803125,1.0,0.000513,0.760312
T003,risk_classification,medium,,Standard RAG,0.166667,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.8125,0.803125,1.0,0.000471,0.830313
T003,risk_classification,medium,,Hybrid RAG,0.166667,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8125,0.803125,1.0,0.0008,0.730313
T003,risk_classification,medium,,Policy-as-Prompt,0.166667,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,0.0,0.8125,0.803125,1.0,0.000447,0.830313
T003,risk_classification,medium,,Structured Policy-as-Prompt,0.166667,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.8125,0.803125,1.0,0.000767,0.730313
T003,risk_classification,medium,,Policy-as-Skill No Audit,0.333333,1.0,1.0,1.0,1.0,0.0,0.35,0.65,0.857143,1.0,0.9375,0.941518,1.0,0.001046,0.824866
T003,risk_classification,medium,,Policy-as-Skill,0.333333,1.0,1.0,1.0,1.0,0.0,0.35,0.65,1.0,1.0,1.0,1.0,1.0,0.00102,0.845
T004,policy_conflict_detection,medium,,Direct LLM,0.033333,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.714286,1.0,0.625,0.620536,1.0,0.000241,0.139482
T004,policy_conflict_detection,medium,,Keyword Search,0.075758,1.0,1.0,1.0,0.96,0.04,1.0,0.0,1.0,0.0,0.8125,0.803125,1.0,0.000778,0.709149
T004,policy_conflict_detection,medium,,Standard RAG,0.075758,1.0,1.0,1.0,0.96,0.04,1.0,0.0,1.0,0.0,0.8125,0.803125,1.0,0.000662,0.709149
T004,policy_conflict_detection,medium,,Hybrid RAG,0.075758,1.0,1.0,1.0,0.96,0.04,1.0,0.0,1.0,0.0,0.8125,0.803125,1.0,0.001064,0.709149
T004,policy_conflict_detection,medium,,Policy-as-Prompt,0.075758,1.0,1.0,1.0,0.96,0.04,1.0,0.0,1.0,0.0,0.8125,0.803125,1.0,0.000703,0.709149
T004,policy_conflict_detection,medium,,Structured Policy-as-Prompt,0.075758,1.0,1.0,1.0,0.96,0.04,1.0,0.0,1.0,0.0,0.8125,0.803125,1.0,0.001015,0.709149
T004,policy_conflict_detection,medium,,Policy-as-Skill No Audit,0.075758,1.0,1.0,1.0,0.96,0.04,1.0,0.0,0.857143,1.0,0.9375,0.941518,1.0,0.001647,0.708702
T004,policy_conflict_detection,medium,,Policy-as-Skill,0.075758,1.0,1.0,1.0,0.96,0.04,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.001039,0.728836
T005,evidence_grounded_recommendation,medium,,Direct LLM,0.1,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.714286,0.0,0.625,0.470536,1.0,0.000128,0.136482
T005,evidence_grounded_recommendation,medium,,Keyword Search,0.225,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.8125,0.953125,1.0,0.000492,0.755812
T005,evidence_grounded_recommendation,medium,,Standard RAG,0.285714,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.8125,0.953125,1.0,0.000531,0.766741
T005,evidence_grounded_recommendation,medium,,Hybrid RAG,0.285714,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.8125,0.953125,1.0,0.000746,0.766741
T005,evidence_grounded_recommendation,medium,,Policy-as-Prompt,0.285714,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.8125,0.953125,1.0,0.000437,0.766741
T005,evidence_grounded_recommendation,medium,,Structured Policy-as-Prompt,0.285714,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.8125,0.953125,1.0,0.000879,0.766741
T005,evidence_grounded_recommendation,medium,,Policy-as-Skill No Audit,0.177778,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.857143,1.0,0.9375,0.941518,1.0,0.001061,0.731866
T005,evidence_grounded_recommendation,medium,,Policy-as-Skill,0.177778,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.001019,0.752
